document_id,date,title,pdf_url,description,description_source
C09000072,5/26/1963,"APPENDIX V Random Musings about Chester Bowles and the Department of State by Samuel W. Lewis, May 26, 1963*",https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000072/C09000072.pdf,"State Department FOIA record C09000072, dated 5/26/1963, is titled ""APPENDIX V Random Musings about Chester Bowles and the Department of State by Samuel W. Lewis, May 26, 1963*"". The released text begins: """"UNCLASSIFIED"" [3/28/2024] [3/28/2U24] 304 OU4 FL-2017-13804 A-00000_3365 ti RANDOM .RANDOM MUSINGS MUSINGS ABOUT CHESTER CHESTER BOWLES BOWLES 627 44417, 0-1 I * with whom he had worked earlier in the Departrnent Department (like like Joh… By the time the Berle problem had been resolved, the Cuba fiasco had befallen, and no one in his right mind from outside could be prevailed upon to acce…",pdf
C09000069,9/8/1982,Public Law 97-255 97th Congress An Act,https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000069/C09000069.pdf,"State Department FOIA record C09000069, dated 9/8/1982, is titled ""Public Law 97-255 97th Congress An Act"". The released text begins: ""PUBLIC 97-255--SEPI'. 8, S, 1982 1982 • Public Law 97-255 97th Congress An Act . S. ig BS OUJCtttl by the U enacted Saum and tM Senate HoUM of antl House of Representativa R~pf""Clffllatil,a ofof the 1M =· Flldiml lll&epitJ A.cl ol 1912. 21 USCUUIL United Sa:noK L Secrzose Financial Sr.c. 2.""",pdf
C09000074,5/2/1983,Zbig-Think,https://foia.state.gov/DOCUMENTS/FOIA_L_Dec2023/FL-2017-13804/DOC_0C09000074/C09000074.pdf,"State Department FOIA record C09000074, dated 5/2/1983, is titled ""Zbig-Think"". The released text begins: ""But the unprm. by Zbigniew Brzezinski trol talks. He would have perhaps even sion created here is of a Chief Executive Farrar, Straus & Giroux sent an aircraft carrier to show the flag off hopelessly concerned with minutiae, me, 587 pages; $22.50 the Horn of Africa.""",pdf
C09000008,8/19/1988,"August 19, 1988 Note From Strobe Talbott To Steve",https://foia.state.gov/DOCUMENTS/FOIA_L_July2023/FL-2017-13804/DOC_0C09000008/C09000008.pdf,"State Department FOIA record C09000008, dated 8/19/1988, is titled ""August 19, 1988 Note From Strobe Talbott To Steve"". The released text begins: ""The hardest part is still to come -— how take the general thesis outlined here and apply it to the agenda and schedule of the Summit itself, and how we apply it to the hard choices we have ahead of us, especially vis-a-vis vis-à-vis Treasu… Wednesday, August 19, 1998, 7 a.m. • What we need: a ""high concept"" paper that puts the objectives of Summjt in the context of our long-term (and long-standing) the Summit strategy toward Russia, and that balanc…",pdf
C09000023,12/20/1988,TALBOTT/SUMMERS/FUERTH MEETING WITH PRIMAKOV,https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000023/C09000023.pdf,"State Department FOIA record C09000023, dated 12/20/1988, is titled ""TALBOTT/SUMMERS/FUERTH MEETING WITH PRIMAKOV"". The released text begins: ""N Addressees outside the Department of State must handle the document in accordance with the above instructions and with current Department of State instructions on NODIS. When this document is no longer needed, the recipient is responsible for supervising its destruction.""",pdf
C09000002,11/3/1990,Handwritten Note w/Attachment(s),https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2023/FL-2017-13804/DOC_0C09000002/C09000002.pdf,"State Department FOIA record C09000002, dated 11/3/1990, is titled ""Handwritten Note w/Attachment(s)"". The released text begins: ""Paul Vd[cker NCll1II AmericanOlellnlM None Mlerican Meitwirl Oft0 Grat ono Graf Lambldot11 Limbach""! Bill Clinton EulopNIIOI.,_ ,, Eurdeein assaren President of the President of United States the United 'lbtwo *Imo Kobaya$hl JlpeneN Kobayasto ~ The White White House aosress Chaffy' Avenue, N.W. 1600 Pennsylvania Avenue, N.W.""",pdf
C09000036,12/29/1991,"December 29, 1991 Note From Strobe Talbott to MKA",https://foia.state.gov/DOCUMENTS/FOIA_L_Sep2023/FL-2017-13804/DOC_0C09000036/C09000036.pdf,"State Department FOIA record C09000036, dated 12/29/1991, is titled ""December 29, 1991 Note From Strobe Talbott to MKA"". The released text begins: ""They confirm what had been my assumption anyway: the central allegation of the piece is utter, mischievous nonsense; and I was in the dark by inadvertence. They also agree that I should have been read into this matter in a timely way, both because of my responsibilities in D and also because of my more specific duties on Russia policy.""",pdf
C09000054,4/28/1993,Proposed Message to President Yeltsin,https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000054/C09000054.pdf,"State Department FOIA record C09000054, dated 4/28/1993, is titled ""Proposed Message to President Yeltsin"". The released text begins: ""I have also attached a proposed response to Yeltsin (which I have reviewed with Strobe Talbott). The proposed message includes our views on a variety of the most important issues on the agenda with Russia.""",pdf
C09000011,7/9/1993,Handwritten Notes,https://foia.state.gov/DOCUMENTS/FOIA_L_July2023/FL-2017-13804/DOC_0C09000011/C09000011.pdf,"State Department FOIA record C09000011, dated 7/9/1993, is titled ""Handwritten Notes"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000001,7/16/1993,Memon with President Boris Yeltsin of Russia w/Attached Cover Sheet,https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2023/FL-2017-13804/DOC_0C09000001/C09000001.pdf,"State Department FOIA record C09000001, dated 7/16/1993, is titled ""Memon with President Boris Yeltsin of Russia w/Attached Cover Sheet"". The released text begins: ""S. ___A~ jlcnatio_ RETURN TO - RETURN-T4 TO9- STAFF ~ FAsSrSTAN7 NT STAFF ASSISTANT ASSISTANT STAFF ASSISTANT COPY NO. MOSCOW EYES ONLY FOR AMBASSADOR PICKERING.""",pdf
